cosine_t0,cosine_t_mult,decay_rate,horizontal_flip,lora,lora_dropout,lora_rank,lr,onecycle_div_factor,onecycle_final_div_factor,onecycle_pct_start,patience_epochs,poly_power,random_rotate,sched,step_size,vertical_flip,weight_decay,num_samples,default_resolution,num_channels,num_classes,dataset,cost,epoch_0_iou,epoch_1_iou,epoch_2_iou,epoch_3_iou,epoch_4_iou,epoch_5_iou,epoch_6_iou,epoch_7_iou,epoch_8_iou,epoch_9_iou
3,2,0.5,1,1,0.1,16,0.005,40,40,0.04,0,0.5,1,onecycle,5,1,5e-05,898,"(900, 1600)",3,0,golf,145.59843707084656,0.0,0.0024967923847725613,0.0,0.021179213781579165,2.0120314820815112e-05,0.08070482173934579,0.06568454834632576,0.07308525200933218,0.06751926010474563,0.06645542732439935
5,2,0.8,0,0,0.1,4,2.5e-05,80,80,0.045,2,1.0,1,onecycle,5,1,0.0,109,"(1500, 1500)",3,1,building,173.28317523002625,0.27631008587777617,0.33901173062622547,0.335777185857296,0.3530717894434929,0.36901242285966873,0.36905292682349683,0.3736483223736286,0.3727143108844757,0.3734618596732616,0.374002081155777
3,2,0.8,1,0,0.1,8,6.5e-05,10,40,0.06,2,0.5,0,step,3,0,0.0,6464,"(480, 854)",3,9,cholec,142.01222848892212,0.13762402348220348,0.2422504011541605,0.21624864712357522,0.23010814376175404,0.23057516999542713,0.20996081084012985,0.2205665897578001,0.23472554944455623,0.23650555610656737,0.22430048733949662
5,1,0.5,1,0,0.1,8,0.004,10,80,0.03,0,0.9,1,cosine_warm,3,0,1e-05,633,"(464, 449)",3,3,US,143.56405591964722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.5,1,0,0.0,4,0.002,50,1000,0.075,1,1.0,0,step,5,1,0.0001,489,"(288, 384)",3,1,polyp,106.00719714164734,0.2402050386182964,0.2606281888554804,0.3469874605536461,0.30922069754451514,0.36527612097561357,0.32669792138040066,0.43966990555636587,0.437236263602972,0.49198241755366323,0.4936309836804867
5,1,0.1,1,1,0.0,8,0.0001,40,320,0.1,0,0.9,1,cosine,3,0,5e-05,470,"(1600, 1200)",3,1,leaf,136.66297101974487,0.6112336396239698,0.6250836014747619,0.6348988294601441,0.6300867028534413,0.6692147493362427,0.6651762500405312,0.6405588790774346,0.644264005869627,0.6460697568953038,0.6392267785966397
3,2,0.8,1,1,0.0,8,0.0005,30,80,0.065,2,1.0,1,poly,5,0,1e-05,6464,"(480, 854)",3,9,cholec,163.63123631477356,0.1335155414417386,0.12517686001956463,0.20246854089200497,0.1640744149684906,0.19833214543759822,0.22848786562681198,0.21398898921906948,0.2295565314590931,0.24001473560929298,0.24898830093443394
5,2,0.8,0,0,0.0,16,0.00055,25,1000,0.06,2,0.9,0,cosine_warm,5,0,1e-05,633,"(464, 449)",3,3,US,140.83833932876587,0.8322034925222397,0.8438309609889985,0.8650173068046569,0.8909181475639343,0.8969275325536727,0.8595951467752456,0.8669738858938217,0.8740850061178207,0.8705215662717819,0.8951865255832672
5,1,0.1,0,1,0.1,8,5e-05,50,20,0.055,0,0.9,1,cosine,5,1,0.0001,470,"(1600, 1200)",3,1,leaf,131.22141098976135,0.5505655167624355,0.5979774981737137,0.6153648197650909,0.6468701347708702,0.6448781795799732,0.6524497225880623,0.6408915311098099,0.651235182583332,0.6690263986587525,0.6735888913273811
5,1,0.5,0,1,0.1,8,0.00012,80,20,0.035,0,1.0,0,cosine,5,1,5e-05,14164,"(600, 400)",3,12,human_parsing,220.53320741653442,0.848755395412445,0.8534999966621399,0.8621160954236984,0.8659047067165375,0.8605446636676788,0.8637257426977157,0.8672985076904297,0.8654914051294327,0.8680289775133133,0.868767386674881
